Incident ID,Incident Date,Incident Time,Day of Week,Month,Year,Time of Day,Daytime/Weekend/Weekday,Crime Category,Repeat Offender,Crime Location Type,Suspect Age,Suspect Sex,Suspect Descent,Arrest Made,Charge Filed,Outcome,Victim Injury,Victim Status,Time to Resolution,District,Latitude,Longitude,Crime Severity,Repeat Victim,Victim Occupation,Suspect Occupation
1,2023-04-11,01:24:38,Tuesday,April,2023,Morning,Daytime,Cyber Crime,No,Residential,62,Female,Other,No,No,Under Investigation,None,Deceased,48,Central,22.896325,-158.265114,Minor,Yes,Futures trader,Sales promotion account executive
2,2024-02-18,16:37:16,Sunday,February,2024,Afternoon,Daytime,Drug Offense,Yes,Residential,18,Female,Indian,No,No,Open,Internal injuries,Deceased,324,Central,-8.5801115,75.871040,Minor,No,Materials engineer,Television production assistant
3,2021-11-09,01:26:19,Tuesday,November,2021,Morning,Daytime,Cyber Crime,No,Commercial,21,Female,Other,No,No,Open,Broken bones,Deceased,360,North,-52.6139985,-28.689458,Severe,No,Counselling psychologist,Chief of Staff
4,2022-02-17,22:34:49,Thursday,February,2022,Evening,Night,Drug Offense,Yes,Public,27,Male,Indian,Yes,Yes,Closed,None,Alive,212,North,71.571856,-101.100699,Moderate,No,Insurance claims handler,Child psychotherapist
5,2020-08-17,12:18:29,Monday,August,2020,Afternoon,Daytime,Violent Crime,No,Public,39,Male,Other,Yes,No,Under Investigation,None,Alive,243,Central,-1.3633585,73.479690,Moderate,No,"Surveyor, minerals",Chiropractor
6,2023-01-04,09:35:13,Wednesday,January,2023,Morning,Daytime,White Collar Crime,Yes,Public,54,Male,Indian,Yes,Yes,Under Investigation,None,Alive,88,North,-5.121595,147.967447,Severe,Yes,"Engineer, energy",Sub
7,2024-01-22,04:52:25,Monday,January,2024,Morning,Daytime,Property Crime,Yes,Residential,24,Female,Other,Yes,No,Solved,None,Deceased,89,West,49.9498015,-40.149256,Severe,No,Biomedical engineer,Sports therapist
8,2020-02-13,06:50:06,Thursday,February,2020,Morning,Daytime,Violent Crime,No,Residential,30,Female,Other,Yes,Yes,Under Investigation,Severe lacerations,Deceased,315,South,17.058379,178.712016,Moderate,No,Accommodation manager,Veterinary surgeon
9,2024-03-13,02:50:57,Wednesday,March,2024,Morning,Daytime,Violent Crime,Yes,Commercial,19,Male,Indian,Yes,Yes,Closed,Gunshot wound,Alive,40,East,-24.5256735,-5.407239,Minor,Yes,Biomedical scientist,"Engineer, aeronautical"
10,2021-11-19,19:56:43,Friday,November,2021,Evening,Night,White Collar Crime,Yes,Commercial,41,Male,Indian,No,No,Closed,Minor cuts and bruises,Deceased,175,Central,-51.749453,111.515512,Minor,No,Product/process development scientist,"Chemist, analytical"
11,2020-09-06,00:00:17,Sunday,September,2020,Morning,Daytime,Violent Crime,Yes,Residential,42,Female,Other,No,No,Closed,No visible injuries,Deceased,338,North,46.349277,82.683840,Severe,Yes,Clinical embryologist,Illustrator
12,2022-06-23,16:18:06,Thursday,June,2022,Afternoon,Daytime,Cyber Crime,Yes,Public,55,Female,Other,Yes,Yes,Closed,Head injury,Alive,26,East,-56.4963795,113.905101,Severe,No,Learning mentor,"Sound technician, broadcasting/film/video"
13,2021-09-23,20:50:43,Thursday,September,2021,Evening,Night,Violent Crime,No,Commercial,31,Male,Other,No,No,Under Investigation,None,Deceased,73,East,71.916409,113.791924,Minor,Yes,Theatre manager,Holiday representative
14,2023-10-14,12:40:22,Saturday,October,2023,Afternoon,Daytime,Cyber Crime,Yes,Public,27,Male,Other,Yes,Yes,Solved,None,Deceased,116,East,70.0645345,26.642228,Severe,Yes,Investment analyst,Teaching laboratory technician
15,2022-01-22,04:17:42,Saturday,January,2022,Morning,Daytime,Drug Offense,No,Industrial,34,Male,Indian,Yes,Yes,Closed,Severe lacerations,Deceased,244,West,-40.643115,-78.321308,Severe,No,"Embryologist, clinical",Amenity horticulturist
16,2022-03-18,05:48:46,Friday,March,2022,Morning,Daytime,Violent Crime,No,Industrial,23,Male,Indian,No,No,Open,None,Alive,336,West,-71.4550685,-131.775916,Severe,No,"Conservator, furniture",Dealer
17,2020-04-30,13:59:08,Thursday,April,2020,Afternoon,Daytime,White Collar Crime,Yes,Residential,18,Female,Other,No,No,Solved,Gunshot wound,Alive,339,Central,55.1161875,30.075464,Severe,Yes,"Scientist, water quality",Health and safety adviser
18,2024-06-09,10:15:19,Sunday,June,2024,Morning,Daytime,Property Crime,Yes,Industrial,53,Female,Other,Yes,Yes,Open,Severe lacerations,Alive,178,Central,-32.232344,136.647098,Severe,Yes,Personnel officer,TEFL teacher
19,2022-05-05,19:21:36,Thursday,May,2022,Evening,Night,Drug Offense,No,Commercial,47,Male,Other,No,No,Open,Fractures,Deceased,148,North,42.246172,174.466538,Moderate,Yes,Marketing executive,Charity fundraiser
20,2022-10-04,19:21:39,Tuesday,October,2022,Evening,Night,White Collar Crime,No,Residential,37,Male,Other,Yes,Yes,Closed,None,Deceased,289,East,-59.0360385,81.157742,Severe,Yes,Theatre manager,Legal executive
21,2021-08-14,16:23:50,Saturday,August,2021,Afternoon,Daytime,White Collar Crime,No,Industrial,19,Female,Other,Yes,Yes,Under Investigation,Head injury,Alive,266,East,-85.6489225,-34.487601,Moderate,No,Commercial horticulturist,English as a second language teacher
22,2023-03-01,11:12:28,Wednesday,March,2023,Morning,Daytime,Drug Offense,Yes,Public,50,Male,Indian,No,No,Closed,Fractures,Deceased,32,West,-44.236648,-1.471013,Severe,Yes,Physiological scientist,Biomedical engineer
23,2020-11-08,12:23:13,Sunday,November,2020,Afternoon,Daytime,Drug Offense,Yes,Industrial,28,Male,Indian,No,No,Closed,Fractures,Deceased,245,East,-50.7121925,-62.546840,Moderate,No,Armed forces technical officer,"Teacher, secondary school"
24,2024-07-17,00:41:16,Wednesday,July,2024,Morning,Daytime,Violent Crime,Yes,Industrial,41,Female,Other,No,No,Open,None,Alive,164,West,-70.1366085,-165.667267,Moderate,Yes,Company secretary,Energy engineer
25,2021-01-06,13:30:18,Wednesday,January,2021,Afternoon,Daytime,Drug Offense,No,Commercial,29,Male,Other,Yes,Yes,Open,Severe lacerations,Alive,184,West,-65.429605,18.717367,Minor,Yes,Commercial art gallery manager,Animator
26,2020-03-08,14:01:22,Sunday,March,2020,Afternoon,Daytime,Cyber Crime,No,Industrial,46,Female,Indian,No,No,Open,None,Alive,291,East,-40.3469735,-113.484289,Severe,Yes,Quality manager,"Engineer, materials"
27,2020-07-08,06:23:22,Wednesday,July,2020,Morning,Daytime,Cyber Crime,Yes,Public,18,Male,Indian,Yes,No,Solved,Broken bones,Deceased,129,West,-83.884349,112.184163,Moderate,Yes,"Physicist, medical",Web designer
28,2020-11-11,08:15:13,Wednesday,November,2020,Morning,Daytime,Violent Crime,Yes,Commercial,54,Male,Indian,No,No,Solved,None,Alive,54,North,-71.2083635,-61.443185,Severe,No,Building surveyor,Illustrator
29,2022-12-24,13:04:52,Saturday,December,2022,Afternoon,Daytime,Property Crime,No,Industrial,23,Female,Other,No,No,Solved,No visible injuries,Alive,39,North,-41.596282,-147.228089,Moderate,No,Retail manager,"Psychologist, sport and exercise"
30,2020-05-02,17:07:03,Saturday,May,2020,Afternoon,Daytime,Drug Offense,Yes,Commercial,58,Female,Indian,No,No,Under Investigation,None,Alive,245,North,-62.909161,30.064809,Severe,Yes,"Engineer, communications",Gaffer
